2026-06-10 07:37:39,172 [WARNING] 🟡 MEDIUM ALERT:  (76b865) | Score: 55% | Very low altitude: 937 ft (not near airport), Rapid climb: 2688 ft/min
2026-06-10 07:48:12,869 [WARNING] 🟡 MEDIUM ALERT: RMY3091 (7503f3) | Score: 50% | Very low altitude: 868 ft (not near airport), Sudden course change: 136°
2026-06-10 07:48:24,155 [INFO] 🔵 LOW ALERT: RMY3091 (7503f3) | Score: 30% | Very low altitude: 868 ft (not near airport)
2026-06-10 07:48:35,446 [INFO] 🔵 LOW ALERT: 9MSKE (7504d6) | Score: 30% | Very low altitude: 312 ft (not near airport)
2026-06-10 07:48:46,199 [INFO] 🔵 LOW ALERT: BTK6375 (8a09a2) | Score: 30% | Very low altitude: 929 ft (not near airport)
2026-06-10 07:49:31,013 [INFO] 🔵 LOW ALERT: GIA073 (8a04f4) | Score: 30% | Very low altitude: 982 ft (not near airport)
2026-06-10 07:49:42,141 [INFO] 🔵 LOW ALERT:  (8a0428) | Score: 30% | Very low altitude: 411 ft (not near airport)
2026-06-10 07:49:53,833 [WARNING] 🟡 MEDIUM ALERT:  (76cd15) | Score: 55% | Very low altitude: 845 ft (not near airport), Rapid climb: 2175 ft/min
2026-06-10 07:50:04,765 [WARNING] 🟡 MEDIUM ALERT:  (8a0428) | Score: 50% | Very low altitude: 411 ft (not near airport), Unusually slow: 90 knots
2026-06-10 07:51:18,118 [INFO] 🔵 LOW ALERT:  (76cc65) | Score: 30% | Very low altitude: 929 ft (not near airport)
2026-06-10 07:51:55,128 [WARNING] 🟡 MEDIUM ALERT: J935G (8a055d) | Score: 50% | Very low altitude: 365 ft (not near airport), Unusually slow: 90 knots
2026-06-10 07:51:56,140 [INFO] 🔵 LOW ALERT: UPS167 (a3c2d5) | Score: 30% | Very low altitude: 845 ft (not near airport)
2026-06-10 07:52:09,249 [INFO] 🔵 LOW ALERT: AWQ807 (8a017c) | Score: 30% | Very low altitude: 998 ft (not near airport)
2026-06-10 07:52:09,551 [INFO] 🔵 LOW ALERT: 9MITN (75049b) | Score: 30% | Very low altitude: 297 ft (not near airport)
2026-06-10 07:52:22,181 [CRITICAL] 🔴 HIGH ALERT: 9MMFA (7504d5) | Score: 70% | Very low altitude: 320 ft (not near airport), Unusually slow: 94 knots, Sudden course change: 156°
2026-06-10 07:52:45,509 [INFO] 🔵 LOW ALERT: PKCAA (8a09f9) | Score: 30% | Very low altitude: 449 ft (not near airport)
2026-06-10 07:53:35,085 [INFO] 🔵 LOW ALERT:  (75027f) | Score: 30% | Very low altitude: 899 ft (not near airport)
2026-06-10 07:53:36,193 [INFO] 🔵 LOW ALERT: 9MSBV (750547) | Score: 30% | Very low altitude: 609 ft (not near airport)
2026-06-10 07:53:49,205 [INFO] 🔵 LOW ALERT: MAS197 (750551) | Score: 30% | Very low altitude: 960 ft (not near airport)
2026-06-10 07:54:36,501 [INFO] 🔵 LOW ALERT:  (c81d80) | Score: 30% | Very low altitude: 982 ft (not near airport)
2026-06-10 07:54:50,729 [INFO] 🔵 LOW ALERT: MYU6011 (8a0a64) | Score: 30% | Very low altitude: 967 ft (not near airport)
2026-06-10 07:55:01,742 [INFO] 🔵 LOW ALERT: BTK7369 (8a051f) | Score: 30% | Very low altitude: 937 ft (not near airport)
2026-06-10 07:55:03,224 [INFO] 🔵 LOW ALERT:  (75043f) | Score: 30% | Very low altitude: 22 ft (not near airport)
2026-06-10 07:55:15,472 [WARNING] 🟡 MEDIUM ALERT:  (75043f) | Score: 55% | Very low altitude: 53 ft (not near airport), Rapid climb: 2879 ft/min
